timestamp,temperature celsius,data source
2025-11-30T00:00:00Z,29.2,Charge 6
2025-11-30T00:01:00Z,29.2,Charge 6
2025-11-30T00:02:00Z,29.2,Charge 6
2025-11-30T00:03:00Z,29.1,Charge 6
2025-11-30T00:04:00Z,29.0,Charge 6
2025-11-30T00:05:00Z,28.9,Charge 6
2025-11-30T00:06:00Z,28.7,Charge 6
2025-11-30T00:07:00Z,28.6,Charge 6
2025-11-30T00:08:00Z,28.5,Charge 6
2025-11-30T00:09:00Z,28.2,Charge 6
2025-11-30T00:10:00Z,28.0,Charge 6
2025-11-30T00:11:00Z,27.9,Charge 6
2025-11-30T00:12:00Z,27.9,Charge 6
2025-11-30T00:13:00Z,27.8,Charge 6
2025-11-30T00:14:00Z,27.4,Charge 6
2025-11-30T00:15:00Z,27.3,Charge 6
2025-11-30T00:16:00Z,27.1,Charge 6
2025-11-30T00:17:00Z,26.9,Charge 6
2025-11-30T00:18:00Z,26.8,Charge 6
2025-11-30T00:19:00Z,26.6,Charge 6
2025-11-30T00:20:00Z,26.7,Charge 6
2025-11-30T00:21:00Z,27.0,Charge 6
2025-11-30T00:22:00Z,27.2,Charge 6
2025-11-30T00:23:00Z,27.5,Charge 6
2025-11-30T00:24:00Z,27.9,Charge 6
2025-11-30T00:25:00Z,28.0,Charge 6
2025-11-30T00:26:00Z,28.1,Charge 6
2025-11-30T00:27:00Z,28.2,Charge 6
2025-11-30T00:28:00Z,28.5,Charge 6
2025-11-30T00:29:00Z,28.6,Charge 6
2025-11-30T00:30:00Z,28.9,Charge 6
2025-11-30T00:31:00Z,29.1,Charge 6
2025-11-30T00:32:00Z,29.5,Charge 6
2025-11-30T00:33:00Z,29.7,Charge 6
2025-11-30T00:34:00Z,29.9,Charge 6
2025-11-30T00:35:00Z,30.3,Charge 6
2025-11-30T00:36:00Z,30.6,Charge 6
2025-11-30T00:37:00Z,30.7,Charge 6
2025-11-30T00:38:00Z,30.9,Charge 6
2025-11-30T00:39:00Z,31.1,Charge 6
